cpu_temp,slot,channel,state,ms
27.0,3,0,close,22
27.0,3,0,open,15
27.0,3,1,close,12
27.0,3,1,open,16
27.0,3,2,close,24
27.0,3,2,open,14
27.0,3,3,close,16
27.0,3,3,close,1
27.0,6,0,close,22
27.0,6,0,open,15
27.0,6,1,close,15
27.0,6,1,open,14
27.0,6,2,close,19
27.0,6,2,open,14
27.0,6,3,close,19
27.0,6,2,close,18
27.0,6,3,close,19
27.0,9,0,close,15
27.0,9,0,open,13
27.0,9,1,close,15
27.0,9,1,open,15
27.0,9,2,close,15
27.0,9,2,open,13
27.0,9,3,close,14
27.0,9,1,close,15
27.0,9,3,close,16
27.0,12,0,close,19
27.0,12,0,open,14
27.0,12,1,close,18
27.0,12,1,open,16
27.0,12,2,close,17
27.0,12,2,open,15
27.0,12,3,close,24
27.0,12,1,close,17
27.0,12,2,close,18
27.0,12,3,close,19
34.5,3,0,close,22
34.5,3,0,open,15
34.5,3,1,close,15
34.5,3,1,open,16
34.5,3,2,close,21
34.5,3,2,open,13
34.5,3,3,close,16
34.5,3,3,open,11
34.5,3,0,close,22
34.5,3,1,close,14
34.5,3,2,close,22
34.5,6,0,close,22
34.5,6,0,open,15
34.5,6,1,close,16
34.5,6,1,open,14
34.5,6,2,close,19
34.5,6,2,open,14
34.5,6,3,close,17
34.5,6,3,open,15
34.5,6,1,close,17
34.5,9,0,close,15
34.5,9,0,open,13
34.5,9,1,close,17
34.5,9,1,open,15
34.5,9,2,close,15
34.5,9,2,open,13
34.5,9,3,close,17
34.5,9,1,close,15
34.5,9,2,close,14
34.5,9,3,close,15
34.5,12,0,close,19
34.5,12,0,open,14
34.5,12,1,close,19
34.5,12,1,open,16
34.5,12,2,close,19
34.5,12,2,open,15
34.5,12,3,close,17
34.5,12,3,open,14
34.5,12,1,close,20
34.5,12,2,close,18
35.5,3,0,close,19
35.5,3,0,open,14
35.5,3,1,close,15
35.5,3,1,open,15
35.5,3,2,close,18
35.5,3,2,open,13
35.5,3,3,close,15
35.5,3,3,open,11
35.5,3,0,close,23
35.5,6,0,close,22
35.5,6,0,open,15
35.5,6,1,close,18
35.5,6,1,open,14
35.5,6,2,close,18
35.5,6,2,open,13
35.5,6,3,close,17
35.5,6,0,close,22
35.5,6,3,close,23
35.5,9,0,close,13
35.5,9,0,open,13
35.5,9,1,close,17
35.5,9,1,open,14
35.5,9,2,close,14
35.5,9,2,open,13
35.5,9,3,close,14
35.5,9,3,open,12
35.5,9,1,close,17
35.5,12,0,close,18
35.5,12,0,open,14
35.5,12,1,close,21
35.5,12,1,open,15
35.5,12,2,close,13
35.5,12,2,open,14
35.5,12,3,close,24
35.5,12,0,close,19
35.5,12,1,close,19
35.5,12,3,close,20
35.5,3,0,close,22
35.5,3,0,open,14
35.5,3,1,close,13
35.5,3,1,open,15
35.5,3,2,close,19
35.5,3,2,open,13
35.5,3,3,close,15
35.5,3,3,open,11
35.5,3,0,close,18
35.5,6,0,close,20
35.5,6,0,open,15
35.5,6,1,close,17
35.5,6,1,open,14
35.5,6,2,close,19
35.5,6,2,open,14
35.5,6,3,close,16
35.5,6,0,close,19
35.5,6,3,close,20
35.5,9,0,close,15
35.5,9,0,open,13
35.5,9,1,close,16
35.5,9,1,open,14
35.5,9,2,close,14
35.5,9,2,open,13
35.5,9,3,close,14
35.5,9,3,open,12
35.5,9,1,close,18
35.5,12,0,close,19
35.5,12,0,open,14
35.5,12,1,close,18
35.5,12,1,open,15
35.5,12,2,close,17
35.5,12,2,open,14
35.5,12,3,close,22
35.5,12,0,close,19
35.5,12,1,close,19
35.5,12,3,close,20
35.5,3,0,close,23
35.5,3,0,open,14
35.5,3,1,close,14
35.5,3,1,open,15
35.5,3,2,close,19
35.5,3,2,open,13
35.5,3,3,close,18
35.5,3,3,open,11
35.5,3,0,close,23
35.5,6,0,close,18
35.5,6,0,open,15
35.5,6,1,close,18
35.5,6,1,open,14
35.5,6,2,close,18
35.5,6,2,open,14
35.5,6,3,close,18
35.5,6,0,close,21
35.5,6,3,close,22
35.5,9,0,close,15
35.5,9,0,open,13
35.5,9,1,close,16
35.5,9,1,open,14
